date,open,high,low,close,adjclose,volume,ticker,BB_UPPER,BB_MIDDLE,BB_LOWER,pivot,s1,s2,s3,s4,r1,r2,r3,r4,14 period RSI,MACD,SIGNAL,14 period STOCH %K,14 period stochastic RSI.,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema60,ema20,ema10,ema5,ema5Vol,realGDP_(qrt),consumerPriceIndex_(mo),consumerSentiment_(mo),retailSales_(mo),fedFundRate_(d)
2002-01-02,28.625,28.875,28.325000762939453,28.809999465942383,18.210582733154297,2360400,CL,,,,,,,,,,,,,,0.0,0.0,,,1802481.9148419674,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3263.869,177.1,93.0,230546,1.92
2002-01-03,28.684999465942383,28.709999084472656,28.434999465942383,28.733076095581055,18.147369384765625,2003200,CL,,,,28.670000076293945,28.459900367736818,28.330100547790526,28.1200008392334,27.90990113067627,28.880099784851073,29.009899604797365,29.219999313354492,29.43009902191162,0.0,-0.001725844847850766,-0.0009588026932504255,,,4141885.062318368,,,,,-2003200.0,-66.66666666667206,,,,0.9986742369588156,0.9986957659659036,0.9987267796196356,0.998784582932662,0.9250247678538446,3263.869,177.1,93.0,230546,1.72
2002-01-04,28.584999084472656,28.59000015258789,27.815000534057617,28.29201476007914,17.774442672729492,4467600,CL,,,,28.6260248819987,28.520975027720134,28.45607511774699,28.351025263468426,28.24597540918986,28.731074736277264,28.795974646250407,28.901024500528973,29.006074354807538,0.0,-0.015876354515878432,-0.007072553440229116,,,5173923.269148048,,,,,-6470800.0,-100.00000000000001,,,,0.9889257072107147,0.9891196531373679,0.9894014249171518,0.9899331310653385,1.4522832782500223,3263.869,177.1,93.0,230546,1.61
2002-01-07,27.875,28.024999618530277,27.700000762939453,27.962435369013733,17.587974548339844,3746800,CL,,,,28.23233848224155,27.936288627962984,27.75338871798984,27.457338863711275,27.16128900943271,28.528388336520113,28.711288246493258,29.007338100771822,29.303387955050386,0.0,-0.03382253295738025,-0.01613419961812584,,,7478159.850501924,,,,,-10217600.0,-105.08706752861596,,,,0.9830970893678705,0.9835150132138948,0.9841199960116721,0.9852514741996797,1.1381145589954726,3263.869,177.1,93.0,230546,1.61
2002-01-08,27.950000762939453,28.1200008392334,27.875,27.98879466379043,17.698591232299805,6180800,CL,,,,27.89581191682782,27.771662353992127,27.69496262407269,27.570813061236997,27.446663498401303,28.019961479663515,28.09666120958295,28.220810772418645,28.34496033525434,3.404321008375419,-0.04181327143113123,-0.023773142922803785,,,7038908.0032072365,,,,,-4036800.0,-66.15194516005596,,,,0.9872835659111397,0.9878228222494057,0.9885925902815679,0.989992574878405,1.5085999256439826,3263.869,177.1,93.0,230546,1.61
2002-01-09,28.274999618530277,28.274999618530277,28.0,28.08420795542673,17.777603149414062,3999000,CL,,,,27.994598501007943,27.901008180420785,27.8431879823617,27.749597661774544,27.656007341187387,28.0881888215951,28.146009019654183,28.23959934024134,28.3331896608285,14.721307861265828,-0.04175091021549804,-0.02864611740364944,,,5488984.955031597,,,,,-37800.0,-34.904099827450175,,,,0.992260201682631,0.9928314580962413,0.9936296580414032,0.995021206957447,0.98195809708623,3263.869,177.1,93.0,230546,1.74
2002-01-10,28.174999237060547,28.174999237060547,27.604999542236328,27.815204089540163,17.508962631225586,2821800,CL,,,,28.11973585798567,28.014686003707105,27.94978609373396,27.844736239455393,27.739686385176828,28.224785712264236,28.289685622237382,28.394735476515947,28.499785330794513,10.85866947775763,-0.053178100896225544,-0.034854507971853736,,,4748432.355575853,,,,,-2859600.0,-84.44926005859581,,,,0.9853051139886856,0.9860283891360907,0.9870405187607671,0.9888072969280405,0.7458497245409249,3263.869,177.1,93.0,230546,1.81
2002-01-11,27.700000762939453,27.979999542236328,27.565000534057617,27.689053110313587,17.467872619628906,2567400,CL,,,,27.865067622945677,27.647327739522826,27.51280781154431,27.29506792812146,27.077328044698607,28.08280750636853,28.217327434347045,28.435067317769896,28.652807201192747,9.588129496980713,-0.06598506628084877,-0.042335766543783994,,,3715940.044523508,,,,,-5427000.0,-96.88733404438537,,,,0.9833304524920331,0.9842313109620829,0.985492027323376,0.9876855102079084,0.7295272130775212,3263.869,177.1,93.0,230546,1.71
2002-01-14,27.450000762939453,28.25,27.450000762939453,27.850719168572862,17.64801788330078,2359200,CL,,,,27.74468439553584,27.586154774411575,27.488215008481397,27.32968538735713,27.171155766232864,27.903214016660108,28.001153782590286,28.159683403714553,28.31821302483882,22.158194641227084,-0.06582881643606697,-0.04776277761852288,,,3720179.454900818,,,,,-3067800.0,-64.94233086108596,,,,0.9903553176331062,0.9913090705051165,0.9926176175750215,0.9947988349790275,0.7193907065335176,3263.869,177.1,93.0,230546,1.78
2002-01-15,27.950000762939453,28.584999084472656,27.950000762939453,28.252717590274724,17.967233657836914,2662000,CL,,,,27.850239977170773,27.544640268613644,27.355840448667355,27.050240740110226,26.744641031553098,28.1558396857279,28.34463950567419,28.65023921423132,28.95583892278845,43.276720081458095,-0.04405356742100608,-0.04693169921492265,,,3596240.3191273855,,,,,-405800.0,35.358051005533284,,,,1.004147713405898,1.0049213863873463,1.0059114965225386,1.0073241831703394,0.8432820807142454,3263.869,177.1,93.0,230546,1.75
