,open,high,low,close,adjclose,volume,ticker
2002-01-02,57.09491729736328,57.09491729736328,56.5388298034668,56.90316390991211,28.373573303222656,1059062,KMB
2002-01-03,56.66347122192383,56.66347122192383,56.23202133178711,56.471717834472656,28.15843963623047,1465937,KMB
2002-01-04,56.471717834472656,56.50048065185547,55.40747833251953,55.66634750366211,27.756864547729492,1566795,KMB
2002-01-07,56.136146545410156,56.136146545410156,54.74592590332031,55.273250579833984,27.56084632873535,2269255,KMB
2002-01-08,55.321189880371094,55.45541763305664,54.6979866027832,54.92809295654297,27.38874626159668,1789162,KMB
2002-01-09,54.7171630859375,55.20613479614258,54.7171630859375,54.97603225708008,27.412641525268555,2086730,KMB
2002-01-10,54.889739990234375,55.54170608520508,54.841800689697266,55.177371978759766,27.513042449951172,1147091,KMB
2002-01-11,54.889739990234375,55.5992317199707,54.841800689697266,55.24448776245117,27.546504974365234,1180050,KMB
2002-01-14,55.0335578918457,55.92521667480469,54.92809295654297,54.92809295654297,27.38874626159668,1429640,KMB
2002-01-15,54.81303787231445,55.848514556884766,54.81303787231445,55.848514556884766,27.84770393371582,1064486,KMB
2002-01-16,55.848514556884766,56.184085845947266,55.512943267822266,56.04026794433594,27.943300247192383,1020158,KMB
2002-01-17,56.04026794433594,56.625118255615234,55.94438934326172,56.56759262084961,28.20623779296875,911582,KMB
2002-01-18,56.56759262084961,56.56759262084961,55.57046890258789,56.08820724487305,27.96721076965332,954971,KMB
2002-01-22,55.92521667480469,56.184085845947266,55.512943267822266,56.16490936279297,28.005468368530273,1269435,KMB
2002-01-23,55.87727737426758,56.23202133178711,55.70469665527344,56.04026794433594,27.943300247192383,1175148,KMB
2002-01-24,56.56759262084961,56.922340393066406,56.23202133178711,56.75934982299805,28.301860809326172,1225316,KMB
2002-01-25,56.75934982299805,57.62224578857422,56.462127685546875,57.14285659790039,28.49308204650879,1507448,KMB
2002-01-28,57.28667449951172,57.30584716796875,56.90316390991211,57.28667449951172,28.564800262451172,969573,KMB
2002-01-29,57.09491729736328,57.57430648803711,55.98274230957031,56.45254135131836,28.148881912231445,1236998,KMB
2002-01-30,56.90316390991211,57.66059494018555,56.75934982299805,56.88398742675781,28.363996505737305,1792708,KMB
2002-01-31,56.88398742675781,57.81399917602539,56.8360481262207,57.81399917602539,28.827747344970703,1538112,KMB
2002-02-01,57.62224578857422,58.02492904663086,57.23873519897461,57.76605987548828,28.8038387298584,1312511,KMB
2002-02-04,57.8619384765625,58.082454681396484,57.14285659790039,57.31543731689453,28.579137802124023,923159,KMB
2002-02-05,57.14285659790039,57.372962951660156,56.510066986083984,56.76893615722656,28.306636810302734,1648566,KMB
2002-02-06,57.23873519897461,57.65100860595703,56.99904251098633,57.344200134277344,28.593482971191406,1483355,KMB
2002-02-07,57.516780853271484,57.516780853271484,56.42377853393555,56.462127685546875,28.153650283813477,1016091,KMB
2002-02-08,56.61553192138672,57.47842788696289,55.75263595581055,57.15244674682617,28.497861862182617,1013170,KMB
2002-02-11,56.80728530883789,57.5263671875,56.682647705078125,57.27708435058594,28.560014724731445,1645228,KMB
