date,open,high,low,close,adjclose,volume,ticker,BB_UPPER,BB_MIDDLE,BB_LOWER,pivot,s1,s2,s3,s4,r1,r2,r3,r4,14 period RSI,MACD,SIGNAL,14 period STOCH %K,14 period stochastic RSI.,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema60,ema20,ema10,ema5,ema5Vol,realGDP_(qrt),consumerPriceIndex_(mo),consumerSentiment_(mo),retailSales_(mo),fedFundRate_(d)
2002-01-02,57.09491729736328,57.09491729736328,56.5388298034668,56.90316390991211,28.373573303222656,1059062,KMB,,,,,,,,,,,,,,0.0,0.0,,,328677.9210564225,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3263.869,177.1,93.0,230546,1.92
2002-01-03,56.66347122192383,56.66347122192383,56.23202133178711,56.57128231342021,28.15843963623047,1465937,KMB,,,,56.84563700358073,56.63321158091227,56.5019749323527,56.28954950968424,56.07712408701578,57.05806242624919,57.18929907480875,57.40172449747721,57.61414992014567,0.0,-0.007446061459745579,-0.004136700810969766,,,1168154.5368748885,,,,,-1465937.0,-66.66666666666534,,,,0.997099375760497,0.9971464057935859,0.9972141592351894,0.9973404515845723,1.144374765274575,3263.869,177.1,93.0,230546,1.72
2002-01-04,56.471717834472656,56.50048065185547,55.40747833251953,55.92025007618417,27.75686454772949,1566795,KMB,,,,56.48892495571039,56.32411109767816,56.222288923605895,56.05747506557367,55.892661207541444,56.65373881374261,56.75556098781488,56.92037484584711,57.08518870387933,0.0,-0.029676230965939965,-0.014603721366285419,,,1071453.7716303119,,,,,-3032732.0,-100.0,,,,0.9904492836219118,0.9906352905115828,0.9909042073187968,0.9914075333521611,1.123909460939712,3263.869,177.1,93.0,230546,1.61
2002-01-07,56.13614654541016,56.13614654541016,54.74592590332031,55.463651984193916,27.56084632873535,2269255,KMB,,,,55.94273635351973,55.5252094675334,55.267260920170116,54.84973403418379,54.43220714819746,56.360263239506054,56.61821178686934,57.035738672855665,57.45326555884199,0.0,-0.0555449589748207,-0.028472704296006044,,,1145285.1110828451,,,,,-5301987.0,-100.57284380503992,,,,0.98682194229868,0.9871741500419201,0.9876815919831463,0.9886232373181287,1.354139965594725,3263.869,177.1,93.0,230546,1.61
2002-01-08,55.32118988037109,55.45541763305664,54.6979866027832,55.087847459844085,27.38874626159668,1789162,KMB,,,,55.4485748109748,54.91751052569647,54.58941845416327,54.05835416888495,53.52728988360662,55.97963909625312,56.30773116778632,56.83879545306465,57.369859738342974,0.0,-0.0833864045469781,-0.044808288616261883,,,1197938.94080651,,,,,-7091149.0,-103.9674525931195,,,,0.9841758827836139,0.9847124899006557,0.9854822320115809,0.9868953249235023,1.0478982002638995,3263.869,177.1,93.0,230546,1.61
2002-01-09,54.7171630859375,55.20613479614258,54.7171630859375,55.00951971698474,27.412641525268555,2086730,KMB,,,,55.08041723189464,54.791078578330186,54.61232485518566,54.322986201621205,54.03364754805675,55.3697558854591,55.548509608603624,55.83784826216808,56.12718691573254,0.0,-0.10190484204380823,-0.06028462910208739,,,1606524.4773611373,,,,,-9177879.0,-86.95574645721132,,,,0.9857243178066161,0.9864009730849029,0.9873618454393871,0.9890879277138972,1.1577239743112917,3263.869,177.1,93.0,230546,1.74
2002-01-10,54.889739990234375,55.54170608520508,54.84180068969727,55.12704200235107,27.51304244995117,1147091,KMB,,,,54.97760586635494,54.7908186730566,54.67542134944821,54.488634156149864,54.30184696285153,55.164393059653285,55.27979038326168,55.46657757656002,55.65336476985836,7.37738427912025,-0.10670166341594012,-0.07203154219312817,,,1394410.5318985197,,,,,-8030788.0,-58.22634433669233,,,,0.9896372228087974,0.9903815458834447,0.9914204348860027,0.9932214328575192,0.6948136053945403,3263.869,177.1,93.0,230546,1.81
2002-01-11,54.889739990234375,55.5992317199707,54.84180068969727,55.209259428706474,27.546504974365234,1180050,KMB,,,,55.170182925751135,54.902819064667156,54.73764139132731,54.47027753024333,54.20291366915935,55.437546786835114,55.60272446017496,55.87008832125894,56.13745218234292,12.254420548131122,-0.10429221339082062,-0.07978438814399,,,1359335.2362257843,,,,,-6850738.0,-48.99330349640129,,,,0.9922802743428479,0.993049946421265,0.9941019464167403,0.9958483941709054,0.7619766329413875,3263.869,177.1,93.0,230546,1.71
2002-01-14,55.0335578918457,55.92521667480469,54.92809295654297,55.012439024176,27.38874626159668,1429640,KMB,,,,55.216763946124814,54.927425292560365,54.74867156941583,54.459332915851384,54.169994262286934,55.506102599689264,55.684856322833795,55.974194976398245,56.263533629962694,10.789746132050382,-0.11080184073703236,-0.08694957357135859,,,171559.9314936828,,,,,-8280378.0,-38.82254409340187,,,,0.9900646191981174,0.990902543399399,0.9920365844375362,0.9938806764720272,0.9380456932730876,3263.869,177.1,93.0,230546,1.78
2002-01-15,54.81303787231445,55.848514556884766,54.81303787231445,55.597695352952236,27.84770393371582,1064486,KMB,,,,55.28858288517455,54.90768162479857,54.67236042728881,54.29145916691283,53.91055790653685,55.66948414555053,55.90480534306029,56.28570660343627,56.666607863812246,35.48319904935221,-0.08366138511670584,-0.08621282847843854,,,720353.9123573644,,,,,-7215892.0,-22.30159843241135,,,,1.000533208832478,1.0012660054473894,1.0022063743074348,1.0035656811069988,0.7429863490410806,3263.869,177.1,93.0,230546,1.75
2002-01-16,55.848514556884766,56.18408584594727,55.512943267822266,55.90749671572465,27.943300247192383,1020158,KMB,,,,55.41974926071715,55.024197167211284,54.7798246696527,54.384272576146834,53.98872048264098,55.81530135422301,56.0596738517816,56.45522594528746,56.850778038793315,44.27606954732539,-0.046371134331174346,-0.07749569345191064,,,899663.415759383,,-0.9956671941874617,,,-6195734.0,34.70394254211091,,,,1.0055027355044062,1.006055654548049,1.0066931077484713,1.0073810714891942,0.7538520343613393,3263.869,177.1,93.0,230546,1.69
2002-01-17,56.04026794433594,56.625118255615234,55.94438934326172,56.369564094873674,28.20623779296875,911582,KMB,,,,55.86817527649806,55.6117988116543,55.453409163216804,55.19703269837305,54.940656233529296,56.12455174134181,56.28294138977931,56.539317854623064,56.79569431946682,54.28378195361684,0.006980884285461286,-0.059353667364799086,,,1126806.8125812258,,-0.2017182185465387,,,-5284152.0,82.75152831268478,,,,1.0125386987532856,1.0128066272722307,1.0129841824167956,1.0127209050092334,0.7175844379717979,3263.869,177.1,93.0,230546,1.68
