,open,high,low,close,adjclose,volume,ticker
2002-03-06,61.790000915527344,62.790000915527344,61.599998474121094,62.52000045776367,36.07862854003906,7264800,JNJ
2002-03-07,63.5,64.0999984741211,63.279998779296875,63.619998931884766,36.71339797973633,11207800,JNJ
2002-03-08,64.4000015258789,64.48999786376953,63.099998474121094,63.65999984741211,36.73648452758789,10364300,JNJ
2002-03-11,63.65999984741211,64.4000015258789,63.40999984741211,63.810001373291016,36.823036193847656,7239000,JNJ
2002-03-12,63.810001373291016,63.810001373291016,62.970001220703125,63.650001525878906,36.730712890625,7505800,JNJ
2002-03-13,63.650001525878906,64.01000213623047,63.25,63.900001525878906,36.87497329711914,6200600,JNJ
2002-03-14,63.900001525878906,64.69000244140625,63.70000076293945,64.37999725341797,37.151981353759766,7572700,JNJ
2002-03-15,64.80000305175781,65.47000122070312,64.44999694824219,64.5999984741211,37.2789306640625,13573000,JNJ
2002-03-18,64.69999694824219,65.1500015258789,64.30000305175781,64.66000366210938,37.31355285644531,8274600,JNJ
2002-03-19,64.75,65.69999694824219,64.69999694824219,65.48999786376953,37.79252624511719,6706300,JNJ
2002-03-20,65.48999786376953,65.48999786376953,64.33999633789062,64.48999786376953,37.215450286865234,7227800,JNJ
2002-03-21,64.30000305175781,64.9800033569336,63.689998626708984,64.80000305175781,37.39435577392578,6192500,JNJ
2002-03-22,64.55000305175781,65.37999725341797,64.37000274658203,64.8499984741211,37.42319107055664,5583600,JNJ
2002-03-25,64.8499984741211,65.88999938964844,64.3499984741211,64.3499984741211,37.1346549987793,6519100,JNJ
2002-03-26,64.55000305175781,65.13999938964844,64.36000061035156,64.70999908447266,37.3424072265625,6034100,JNJ
2002-03-27,64.94999694824219,65.47000122070312,64.81999969482422,65.13999938964844,37.590545654296875,6347900,JNJ
2002-03-28,65.13999938964844,65.5,64.83000183105469,64.94999694824219,37.48089599609375,5604700,JNJ
2002-04-01,64.19999694824219,65.29000091552734,64.1500015258789,64.61000061035156,37.284698486328125,8185800,JNJ
2002-04-02,64.4000015258789,65.04000091552734,64.16000366210938,64.44999694824219,37.1923713684082,5218200,JNJ
2002-04-03,64.69999694824219,64.80000305175781,63.79999923706055,64.0199966430664,36.94424057006836,6996500,JNJ
2002-04-04,63.52000045776367,64.25,63.02000045776367,63.47999954223633,36.63260269165039,8472200,JNJ
2002-04-05,63.47999954223633,63.72999954223633,62.79999923706055,63.04999923706055,36.38447570800781,7208300,JNJ
2002-04-08,62.79999923706055,63.540000915527344,62.54999923706055,63.380001068115234,36.57489776611328,6099300,JNJ
2002-04-09,63.7400016784668,63.79999923706055,62.90999984741211,63.0,36.355621337890625,7770700,JNJ
2002-04-10,62.90999984741211,63.5,62.79999923706055,63.439998626708984,36.609527587890625,7254400,JNJ
2002-04-11,63.2400016784668,63.689998626708984,62.70000076293945,62.70000076293945,36.182498931884766,7491900,JNJ
2002-04-12,62.70000076293945,62.849998474121094,61.900001525878906,62.66999816894531,36.165164947509766,6372500,JNJ
2002-04-15,63.099998474121094,63.20000076293945,61.779998779296875,62.15999984741211,35.87086868286133,6677300,JNJ
2002-04-16,63.0,63.95000076293945,62.02000045776367,63.2599983215332,36.50565719604492,9999000,JNJ
2002-04-17,62.79999923706055,63.470001220703125,62.060001373291016,62.52000045776367,36.07862854003906,9971400,JNJ
2002-04-18,62.52000045776367,64.48999786376953,62.400001525878906,64.29000091552734,37.10005187988281,8094900,JNJ
2002-04-19,64.69999694824219,64.75,64.0999984741211,64.48999786376953,37.215450286865234,6608500,JNJ
